,Coder,Train_Accuracy,Val_Accuracy,Test_Accuracy,#TestData,#AllData
0,Sally,0.8634361028671265,0.8717949390411377,0.703125,64,317
0,Frenard,0.8356900215148926,0.8588235378265381,0.45121951219512196,82,413
0,Trixy,0.8006846308708191,0.800000011920929,0.32857142857142857,70,395
0,Sally-Trixy-Agree,0.914814829826355,0.7666666507720947,0.7142857142857143,21,141
0,Sally-Trixy-DisAgree,0.9661017060279846,0.6666666865348816,0.6,15,81
0,Sally-Frenard-Agree,0.922448992729187,0.833333432674408,0.6923076923076923,13,68
0,Sally-Frenard-DisAgree,0.8936170339584351,0.875,0.8181818181818182,11,64
0,Binary_Sentence_Classifier(310),0.9921875,0.8899999856948853,0.7426470588235294,136,634
0,Binary_Sentence_Classifier(310),0.9832589030265808,0.9200000166893005,0.8897058823529411,136,0
0,Binary_Sentence_Classifier(310),0.9340659379959106,0.8627451062202454,0.8125,128,634
0,Binary_Sentence_Classifier(310),0.9442105293273926,0.8962264060974121,0.8679245283018868,106,634
0,Binary_Sentence_Classifier(310),0.9627659320831299,0.9716981053352356,0.8468468468468469,111,634
0,Binary_Sentence_Classifier(310),0.949999988079071,0.8301886916160583,0.9099099099099099,111,0
0,Binary_Sentence_Classifier(310),0.9362186789512634,0.8265306353569031,0.7751937984496124,129,634
0,Binary_Sentence_Classifier(310),0.9596412777900696,0.9399999976158142,0.8695652173913043,138,634
0,Binary_Sentence_Classifier(310),0.9497767686843872,0.800000011920929,0.7637795275590551,127,634
0,Binary_Sentence_Classifier(310),0.9497816562652588,0.8627451062202454,0.864,125,634
0,Sally,0.8673611283302307,0.8888888955116272,0.62,50,317
0,Sally,0.8680241107940674,0.90666663646698,0.647887323943662,71,317
0,Sally,0.8803418278694153,0.8974359035491943,0.45614035087719296,57,317
0,Sally,0.8784570693969727,0.8846154808998108,0.5806451612903226,62,317
0,Sally,0.8640915751457214,0.8717949390411377,0.7241379310344828,58,317
0,Sally,0.9057665467262268,0.8950617909431458,0.5471698113207547,53,317
0,Sally,0.87629634141922,0.8974359035491943,0.6212121212121212,66,317
0,Sally,0.877036988735199,0.8799999952316284,0.6268656716417911,67,317
0,Sally,0.8903903365135193,0.8799999952316284,0.5142857142857142,70,317
0,Sally,0.9200299382209778,0.90666663646698,0.5507246376811594,69,317
0,Sally,0.9329004287719727,0.8782051801681519,0.7,60,317
0,Sally,0.870535671710968,0.8799999952316284,0.5735294117647058,68,317
0,Sally,0.8858106732368469,0.8121212124824524,0.40476190476190477,84,413
0,Sally,0.8746245503425598,0.90666663646698,0.5714285714285714,70,317
0,Sally,0.8625731468200684,0.8717949390411377,0.6507936507936508,63,317
0,Sally,0.8675400614738464,0.8846153616905212,0.6129032258064516,62,317
0,Sally,0.966810941696167,0.9102564454078674,0.65,60,317
0,Sally,0.9597952961921692,0.9038460850715637,0.5873015873015873,63,317
